ao_hechos,mes_hechos,fecha_hechos,delito,categoria_delito,fiscalia,agencia,unidad_investigacion,alcaldia_hechos,colonia_hechos,ao_inicio,mes_inicio,fecha_inicio,calle_hechos,calle_hechos2,longitud,latitud,geopoint
2016,Febrero,2016-02-01 12:00:00,ABUSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-3,FDS-3-01,VENUSTIANO CARRANZA,MERCED BALBUENA,2016,Febrero,2016-02-01 13:38:49,FERROCARRIL INDUSTRIAL,ORIENTE 30,-99.1238419999999,19.4202309998334,"19.4202309998,-99.123842"
2016,Enero,2016-01-30 16:00:00,ABUSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN IZTAPALAPA,IZP-9,UI-1SD,IZTAPALAPA,GUADALUPE DEL MORAL,2016,Febrero,2016-02-01 18:49:47,VALLA MIEL,ROSARIO CASTELLANAS,-99.0713099999999,19.3671279998334,"19.3671279998,-99.07131"
2016,Febrero,2016-02-01 22:30:00,ABUSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-3,FDS-3-01,VENUSTIANO CARRANZA,MOCTEZUMA 2A SECCIÓN,2016,Febrero,2016-02-02 01:50:16,"ORIENTE 182,",NORTE 9,-99.0951119999999,19.4247379998337,"19.4247379998,-99.095112"
2016,Enero,2016-01-27 12:00:00,ABUSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-4,FDS-4-02,GUSTAVO A MADERO,NUEVA INDUSTRIAL VALLEJO,2016,Febrero,2016-02-02 13:33:15,AVENIDA 100 METROS,NA,-99.1526749999999,19.5105349998328,"19.5105349998,-99.152675"
2016,Febrero,2016-02-02 19:30:00,ABUSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-5,FDS-5-01,TLAHUAC,VILLA CENTRO AMERICANA,2016,Febrero,2016-02-02 22:14:55,GABRIEL AMISTRAL,NA,-99.054474,19.2836319998336,"19.2836319998,-99.054474"
2016,Febrero,2016-02-02 21:00:00,ABUSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-6,FDS-6-02,XOCHIMILCO,BARRIO XALTOCAN,2016,Febrero,2016-02-03 04:05:07,DALIA,NA,-99.0999669,19.2539024998344,"19.2539024998,-99.0999669"
2016,Enero,2016-01-24 20:00:00,ABUSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-2,FDS-2-03,TLALPAN,HÉROES DE PADIERNA,2016,Febrero,2016-02-03 14:29:35,TEKAX,GRECIA,-99.2262749999999,19.2846189998337,"19.2846189998,-99.226275"
2015,Diciembre,2015-12-25 02:00:00,ABUSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN AGENCIAS DE ATENCIÓN ESPECIALIZADAS,IND,UI-3CD,CUAUHTEMOC,JUÁREZ,2016,Febrero,2016-02-03 16:39:03,ABRAHAM GONZALEZ,NA,-99.1538299999999,19.429391999833,"19.4293919998,-99.15383"
2016,Febrero,2016-02-03 17:45:00,ABUSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-3,FDS-3-03,MIGUEL HIDALGO,BOSQUE DE CHAPULTEPEC I SECCIÓN,2016,Febrero,2016-02-03 22:34:21,PASEO DE LA REFORMA,NA,-99.1921679999999,19.4257189998334,"19.4257189998,-99.192168"
2016,Enero,2016-01-31 23:00:00,ABUSO SEXUAL,DELITO DE BAJO IMPACTO,"INVESTIGACIÓN PARA LA ATENCIÓN DE NIÑOS, NIÑAS Y ADOLESCENTES",59,UI-1CD,TLALPAN,MIGUEL HIDALGO 2A SECCIÓN,2016,Febrero,2016-02-04 15:02:13,BENITO JUAREZ,NA,-99.1931009999999,19.282950999834,"19.2829509998,-99.193101"
2015,Septiembre,2015-09-09 13:00:00,ABUSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-1,FDS-1-01,MIGUEL HIDALGO,PANTEON FRANCES,2016,Febrero,2016-02-04 17:03:30,HOSPITAL PEDIATRICO LEGARIA CALZADA LEGARIA,NA,-99.20199,19.4512659998331,"19.4512659998,-99.20199"
2016,Febrero,2016-02-01 03:30:00,ABUSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-4,FDS-4-02,BENITO JUAREZ,SAN JUAN,2016,Febrero,2016-02-05 12:41:16,AVENIDA PATRIOTISMO,NA,-99.1864689999999,19.3765989998334,"19.3765989998,-99.186469"
