ao_hechos,mes_hechos,fecha_hechos,delito,categoria_delito,fiscalia,agencia,unidad_investigacion,alcaldia_hechos,colonia_hechos,ao_inicio,mes_inicio,fecha_inicio,calle_hechos,calle_hechos2,longitud,latitud,geopoint
2016,Noviembre,2016-11-03 04:35:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN DE LOS DELITOS COMETIDOS POR SERVIDORES PUBLICOS,B,UI-3CD,AZCAPOTZALCO,DEL GAS,2016,Noviembre,2016-11-05 20:39:43,5a. CDA. DE AV. JARDIN,INSTITUTO DE FORMACION PROFESIONAL DE LA PGJCDMX,-99.1602228048637,19.4705765420461,"19.470576542,-99.1602228049"
2016,Noviembre,2016-11-08 23:30:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-3,FDS-3-01,VENUSTIANO CARRANZA,10 DE MAYO,2016,Noviembre,2016-11-09 10:40:18,AVENIDA CONGRESO DE LA UNION,NA,-99.1186294823369,19.4330867520193,"19.433086752,-99.1186294823"
2016,Septiembre,2016-09-17 10:00:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-1,FDS-1-01,MIGUEL HIDALGO,ANAHUAC,2016,Noviembre,2016-11-15 11:43:36,CALLE DE COLEGIO SALECIANO,NA,-99.1771618382347,19.4461221354606,"19.4461221355,-99.1771618382"
2016,Julio,2016-07-30 01:00:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-5,FDS-5-03,TLAHUAC,SELENE 1A. SECCION,2016,Agosto,2016-08-01 14:55:27,OCEANO DE LAS TEMPESTADES,MONTES PIRINEOS,-98.9998581,19.287758599834,"19.2877585998,-98.9998581"
2016,Julio,2016-07-29 20:51:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-6,FDS-6-02,CUAUHTEMOC,NA,2016,Agosto,2016-08-03 13:59:54,SIN CALLES DEL SAP,NA,NA,NA,
2016,Junio,2016-06-06 06:00:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-4,FDS-4-03,GUSTAVO A MADERO,VALLEJO,2016,Agosto,2016-08-04 20:15:07,TAMAGNO,NA,-99.1325837287206,19.4670602449916,"19.467060245,-99.1325837287"
2016,Agosto,2016-08-02 13:20:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-6,FDS-6-02,CUAUHTEMOC,NA,2016,Agosto,2016-08-09 12:01:58,LO DESCONOCE,"NO REFIERE DELEGACION, COLONIA NI CALLES",NA,NA,
2016,Enero,2016-01-01 01:00:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-6,FDS-6-02,CUAUHTEMOC,NA,2016,Agosto,2016-08-09 14:15:49,SIN CALLE DEL SAP (POR FACEBOOK),NA,NA,NA,
2016,Diciembre,2016-12-06 20:00:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-6,FDS-6-02,CUAUHTEMOC,CENTRO,2016,Diciembre,2016-12-07 15:43:09,LOPEZ,SALTO DEL AGUA,-99.1429281347873,19.4272911557845,"19.4272911558,-99.1429281348"
2016,Septiembre,2016-09-29 09:30:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN DE LOS DELITOS COMETIDOS POR SERVIDORES PUBLICOS,B,UI-2CD,IZTAPALAPA,SAN LUCAS,2016,Diciembre,2016-12-07 22:27:03,ALDAMA,AYUNTAMIENTO,-99.0917675557199,19.3593153035326,"19.3593153035,-99.0917675557"
